200	30000	18	1080	C.FIJA	DIAS-F.	60	24/12/1996	6128.22	131052
209	25000	16	1800	C.FIJA	DIAS-F.	90	27/12/1996	14891.89	131052
211	20000	20	1080	C.FIJA	DIAS-F.	60	02/01/1997	4202.53	131052
212	9000	19.89	1080	C.FIJA	F. FIJA	60	03/01/1997	2487.21	132052
214	6500	23.7	1080	C.FIJA	DIAS-F.	30	07/01/1997	1427.71	132052
216	8000	22	1466	C.FIJA	F. FIJA	30	10/01/1997	3861.25	131052
217	25000	20	1080	C.FIJA	DIAS-F.	60	13/01/1997	5180.9	131052
218	14000	18	3600	C.FIJA	DIAS-F.	30	14/01/1997	12406.2	131052
219	15000	20	1080	C.FIJA	DIAS-F.	60	15/01/1997	3095.52	131052
225	17500	21.63	1080	C.FIJA	DIAS-F.	30	20/01/1997	3724.03	131052
227	5500	22	1080	C.FIJA	DIAS-F.	30	21/01/1997	1168.03	131052
231	6400	20	1080	C.FIJA	DIAS-F.	30	23/01/1997	1342.82	131052
232	12500	21.94	1080	C.FIJA	DIAS-F.	30	24/01/1997	219.65	131052
237	30000	18	1080	C.FIJA	DIAS-F.	60	28/01/1997	6169.53	131052
240	6000	24	1080	C.FIJA	DIAS-F.	30	30/01/1997	1314.24	131052
246	25000	19	1440	C.FIJA	DIAS-F.	30	31/01/1997	11628.13	131052
247	11000	22	1080	C.FIJA	DIAS-F.	30	31/01/1997	1682.05	131052
248	3500	21.63	1080	C.FIJA	DIAS-F.	30	31/01/1997	732.41	131052
253	30000	18	1080	C.FIJA	DIAS-F.	60	06/02/1997	4528.48	131052
254	31500	16	3600	C.FIJA	DIAS-F.	30	06/02/1997	27458.49	131052
256	24000	16	3240	C.FIJA	DIAS-F.	30	06/02/1997	15432.57	131052
259	15000	21	1080	C.FIJA	F. FIJA	30	07/02/1997	4156.44	131052
262	6000	21.63	1080	C.FIJA	DIAS-F.	30	07/02/1997	1269.4	131052
266	30000	18	1080	C.FIJA	DIAS-F.	60	13/02/1997	8069.66	131052
267	5000	24	1080	C.FIJA	DIAS-F.	30	14/02/1997	1263.08	131052
268	1500	24	1080	C.FIJA	DIAS-F.	30	14/02/1997	622.28	133052
269	3000	24	720	C.FIJA	DIAS-F.	30	14/02/1997	1255.01	133052
270	11000	22	1080	C.FIJA	DIAS-F.	30	17/02/1997	2718.99	131052
274	3000	24	1080	C.FIJA	DIAS-F.	30	18/02/1997	1764.45	133052
276	12000	19	1080	C.FIJA	DIAS-F.	30	18/02/1997	2779.97	131052
280	10000	20	1080	C.FIJA	DIAS-F.	30	20/02/1997	2432.8	131052
281	30000	17.99	1080	C.FIJA	DIAS-F.	60	20/02/1997	8083.62	131052
283	32325	18	3600	C.FIJA	DIAS-F.	30	20/02/1997	23713.69	131052
284	15000	24	900	C.FIJA	DIAS-F.	60	21/02/1997	10149.51	133052
286	3000	24	1080	C.FIJA	DIAS-F.	30	24/02/1997	758.92	131052
287	30000	17.99	1080	C.FIJA	DIAS-F.	60	25/02/1997	8071.66	131052
291	30000	17.99	1080	C.FIJA	DIAS-F.	60	27/02/1997	5977.81	131052
292	18000	21.95	1080	C.FIJA	DIAS-F.	30	27/02/1997	3562.58	131052
293	9000	24	1080	C.FIJA	DIAS-F.	30	27/02/1997	998.05	131052
294	11800	21.89	1080	C.FIJA	DIAS-F.	30	28/02/1997	3703.51	132052
296	16000	21.87	1080	C.FIJA	DIAS-F.	30	28/02/1997	3519.5	131052
297	15000	20	1080	C.FIJA	DIAS-F.	60	28/02/1997	2955.03	131052
298	32000	18	360	C.FIJA	DIAS-F.	90	28/02/1997	32000	133052
306	9000	22	1080	C.FIJA	DIAS-F.	30	05/03/1997	2214.29	131052
307	4000	24	1080	C.FIJA	DIAS-F.	30	05/03/1997	1002.6	131052
308	13000	22	1080	C.FIJA	DIAS-F.	30	06/03/1997	3173.9	131052
316	3000	24	1080	C.FIJA	F. FIJA	30	07/03/1997	861.57	131052
317	15000	20	1080	C.FIJA	DIAS-F.	60	10/03/1997	4072.23	131052
318	32000	20	1440	C.FIJA	F. FIJA	30	10/03/1997	16928.71	131052
322	5000	21.63	1080	C.FIJA	DIAS-F.	30	12/03/1997	1400.43	131052
324	19000	21.93	1080	C.FIJA	DIAS-F.	30	13/03/1997	4568.36	131052
327	11000	21.98	1080	C.FIJA	DIAS-F.	30	14/03/1997	2399.98	131052
